date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:17	121/121	---M--	200	added ('OK')	text/plain	date:Mon,%2013%20Nov%202017%2016:16:44%20GMT	https://circlesconference.com/robots.txt		(from )
23:59:17	83898/83898	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202023%2018:29:17%20GMT	https://circlesconference.com/	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/index.html	(from )
23:59:18	1461/1461	---M--	200	added ('OK')	image/x-icon	date:Fri,%2028%20Oct%202022%2022:22:24%20GMT	https://circlesconference.com/favicon.ico	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/favicon.ico	(from https://circlesconference.com/)
23:59:18	17661/17661	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Nov%202019%2021:01:32%20GMT	https://circlesconference.com/ipad_icon.png	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/ipad_icon.png	(from https://circlesconference.com/)
23:59:19	5842/5842	---M-Z	200	added ('OK')	text/html	date:Sun,%2005%20Feb%202023%2018:29:19%20GMT	http://gmpg.org/xfn/11	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/gmpg.org/xfn/11.html	(from https://circlesconference.com/)
23:59:20	42/42	---MC-	405	error ('Method%20Not%20Allowed')	text/plain	date:Sun,%2005%20Feb%202023%2018:29:20%20GMT	https://circlesconference.com/xmlrpc.php	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/xmlrpc.php	(from https://circlesconference.com/)
23:59:21	3860/3860	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/legacy/css/formreset.min.css?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/legacy/css/formreset.mina19e.css	(from https://circlesconference.com/)
23:59:22	251/251	---M--	302	error ('Found')	text/html	date:Sun,%2005%20Feb%202023%2018:29:22%20GMT	http://ajax.googleapis.com/	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/ajax.googleapis.com/index.html	(from https://circlesconference.com/)
23:59:22	1611/1611	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2005%20Feb%202023%2018:29:22%20GMT	http://fonts.googleapis.com/	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/fonts.googleapis.com/index.html	(from https://circlesconference.com/)
23:59:23	77797/77797	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/legacy/css/formsmain.min.css?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/legacy/css/formsmain.mina19e.css	(from https://circlesconference.com/)
23:59:23	1732/1732	---MC-	200	added ('OK')	application/rss+xml	etag:%2246c24f85115697e1e3efe71dd171e620%22	https://circlesconference.com/feed/	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/feed/index.html	(from https://circlesconference.com/)
23:59:24	29294/29294	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/legacy/css/readyclass.min.css?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/legacy/css/readyclass.mina19e.css	(from https://circlesconference.com/)
23:59:24	8213/8213	---M--	200	added ('OK')	text/css	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/legacy/css/browsers.min.css?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/legacy/css/browsers.mina19e.css	(from https://circlesconference.com/)
23:59:25	2476/2476	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202023%2018:06:50%20GMT	https://circlesconference.com/wp-content/plugins/gravityformscoupons/assets/css/dist/theme.min.css?ver=3.1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityformscoupons/assets/css/dist/theme.min128b.css	(from https://circlesconference.com/)
23:59:27	94889/94889	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Nov%202022%2012:54:27%20GMT	https://circlesconference.com/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://circlesconference.com/)
23:59:27	217/217	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Nov%202022%2012:54:27%20GMT	https://circlesconference.com/wp-includes/css/classic-themes.min.css?ver=1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-includes/css/classic-themes.min68b3.css	(from https://circlesconference.com/)
23:59:29	101619/101619	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202023%2018:06:52%20GMT	https://circlesconference.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min.css?ver=4.5.5	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/wp-user-avatar/assets/css/frontend.min2cb6.css	(from https://circlesconference.com/)
23:59:29	13825/13825	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202023%2018:06:52%20GMT	https://circlesconference.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.css?ver=4.5.5	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min2cb6.css	(from https://circlesconference.com/)
23:59:30	14965/14965	---M--	200	added ('OK')	text/css	date:Tue,%2031%20Jan%202023%2018:06:52%20GMT	https://circlesconference.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.css?ver=6.1.1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min6a4d.css	(from https://circlesconference.com/)
23:59:32	990/990	---MC-	200	added ('OK')	text/css	date:Sun,%2005%20Feb%202023%2018:29:31%20GMT	https://fonts.googleapis.com/css?family=Open+Sans:400italic,700italic,400,700&subset=latin,latin-ext	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/fonts.googleapis.com/css9d1f.css	(from https://circlesconference.com/)
23:59:32	604/604	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202019%2022:49:08%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/style.css?ver=6.1.1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/style6a4d.css	(from https://circlesconference.com/)
23:59:34	88145/88145	---M--	200	added ('OK')	text/javascript	date:Mon,%2013%20May%202019%2014:37:17%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/ajax.googleapis.com/ajax/libs/jquery/3.4.1/jquery.min.js	(from https://circlesconference.com/)
23:59:34	1836/1836	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/js/jquery.json.min.js?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/js/jquery.json.mina19e.js	(from https://circlesconference.com/)
23:59:36	44365/44365	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/js/gravityforms.min.js?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/js/gravityforms.mina19e.js	(from https://circlesconference.com/)
23:59:37	8681/8681	---M--	200	added ('OK')	application/javascript	date:Thu,%2012%20Jan%202023%2022:50:23%20GMT	https://circlesconference.com/wp-content/plugins/gravityforms/js/conditional_logic.min.js?ver=2.6.9	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityforms/js/conditional_logic.mina19e.js	(from https://circlesconference.com/)
23:59:37	4674/4674	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202023%2018:06:50%20GMT	https://circlesconference.com/wp-content/plugins/gravityformscoupons/js/coupons.min.js?ver=3.1	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gravityformscoupons/js/coupons.min128b.js	(from https://circlesconference.com/)
23:59:38	7523/7523	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202023%2018:06:49%20GMT	https://circlesconference.com/wp-content/plugins/gp-ecommerce-fields/js/gp-ecommerce-fields.min.js?ver=1.2.17	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/gp-ecommerce-fields/js/gp-ecommerce-fields.min70e3.js	(from https://circlesconference.com/)
23:59:40	50605/50605	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202023%2018:06:52%20GMT	https://circlesconference.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min.js?ver=4.5.5	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/wp-user-avatar/assets/flatpickr/flatpickr.min2cb6.js	(from https://circlesconference.com/)
23:59:41	70851/70851	---M--	200	added ('OK')	application/javascript	date:Tue,%2031%20Jan%202023%2018:06:52%20GMT	https://circlesconference.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min.js?ver=4.5.5	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/plugins/wp-user-avatar/assets/select2/select2.min2cb6.js	(from https://circlesconference.com/)
23:59:42	1460/1460	---MC-	200	added ('OK')	application/json	date:Sun,%2005%20Feb%202023%2018:29:41%20GMT	https://circlesconference.com/wp-json/wp/v2/pages/5	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-json/wp/v2/pages/5.json	(from https://circlesconference.com/)
23:59:43	840/840	---MC-	200	added ('OK')	text/xml	date:Sun,%2005%20Feb%202023%2018:29:43%20GMT	https://circlesconference.com/xmlrpc.php?rsd	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/xmlrpc0db0.php	(from https://circlesconference.com/)
23:59:43	1045/1045	---M--	200	added ('OK')	application/xml	date:Fri,%2012%20Jun%202020%2006:08:23%20GMT	https://circlesconference.com/wp-includes/wlwmanifest.xml	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-includes/wlwmanifest.xml	(from https://circlesconference.com/)
23:59:44	309881/309881	---MC-	200	added ('OK')	application/json	date:Sun,%2005%20Feb%202023%2018:29:42%20GMT	https://circlesconference.com/wp-json/	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-json/index.html	(from https://circlesconference.com/)
23:59:45	2419/2419	---MC-	200	added ('OK')	application/json	date:Sun,%2005%20Feb%202023%2018:29:44%20GMT	https://circlesconference.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcirclesconference.com%2F	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-json/oembed/1.0/embedc12c.json	(from https://circlesconference.com/)
23:59:46	2491/2491	---MC-	200	added ('OK')	text/xml	date:Sun,%2005%20Feb%202023%2018:29:45%20GMT	https://circlesconference.com/wp-json/oembed/1.0/embed?url=https%3A%2F%2Fcirclesconference.com%2F&format=xml	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-json/oembed/1.0/embeddd17	(from https://circlesconference.com/)
23:59:46	3103/3103	---M--	200	added ('OK')	text/css	date:Wed,%2013%20Nov%202019%2022:48:57%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/css/myfonts.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/css/myfonts.css	(from https://circlesconference.com/)
23:59:48	69433/69433	---M--	200	added ('OK')	text/css	date:Thu,%2017%20Nov%202022%2014:33:39%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/css/style-master.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/css/style-master.css	(from https://circlesconference.com/)
23:59:48	11718/11718	---M--	200	added ('OK')	text/css	date:Fri,%2028%20Oct%202022%2020:44:22%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/css/print.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/css/print.css	(from https://circlesconference.com/)
23:59:49	7461/7461	---M--	200	added ('OK')	text/css	date:Tue,%2019%20Nov%202019%2015:58:24%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/js/magnific-popup.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/js/magnific-popup.css	(from https://circlesconference.com/)
23:59:51	19872/19872	---M-Z	200	added ('OK')	text/css	date:Sun,%2005%20Feb%202023%2018:29:51%20GMT	https://use.typekit.net/ecb7rmm.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/use.typekit.net/ecb7rmm.css	(from https://circlesconference.com/)
23:59:53	154/154	---M--	302	error ('Moved%20Temporarily')	text/html	etag:%22875028f5a4305b5427602def5781a83c:1648233038.312556%22	https://cloud.typography.com/6945818/6308012/css/fonts.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/cloud.typography.com/6945818/6308012/css/fonts.22.delayed	(from https://circlesconference.com/)
23:59:54	250/250	---MC-	200	added ('OK')	text/css	date:Sun,%2005%20Feb%202023%2018:29:54%20GMT	https://fonts.googleapis.com/css?family=Playfair+Display&display=swap	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/fonts.googleapis.com/css6dc4.css	(from https://circlesconference.com/)
23:59:55	149936/149936	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Nov%202019%2015:15:03%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/758742/AA8BD0B37AC89D633.css	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/758742/AA8BD0B37AC89D633.css	(from https://circlesconference.com/)
23:59:56	3867/3867	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Nov%202019%2022:49:06%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/js/labels.js	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/js/labels.js	(from https://circlesconference.com/)
23:59:56	20696/20696	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Nov%202019%2022:49:06%20GMT	https://circlesconference.com/wp-content/themes/circlescocollective/js/magnific-popup.js	/home/tejakavali/Documents/My%20Projects/Daksha/Collegefest/circlesconference.com/wp-content/themes/circlescocollective/js/magnific-popup.js	(from https://circlesconference.com/)
